City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Kupang,ID,2021-06-02 15:32:20,-10.1667,123.5833,76.87,81,34,10.09
221,Ninh Binh,VN,2021-06-02 15:32:20,20.2539,105.975,86.31,75,92,10.51
222,Yar-Sale,RU,2021-06-02 15:32:20,66.8333,70.8333,41.09,62,100,10.6
223,Ust-Kulom,RU,2021-06-02 15:32:21,61.6864,53.6902,53.94,45,79,6.6
224,Nkayi,CG,2021-06-02 15:32:21,-4.1841,13.2884,86.74,57,25,3.31
225,Xining,CN,2021-06-02 15:32:21,36.6167,101.7667,51.66,62,100,2.48
226,College,US,2021-06-02 15:32:22,64.8569,-147.8028,51.75,85,75,0.0
227,Khuzhir,RU,2021-06-02 15:32:22,53.1939,107.3397,45.48,87,98,4.27
228,Churapcha,RU,2021-06-02 15:32:22,62.0025,132.4325,54.34,60,67,5.77
229,Morong,PH,2021-06-02 15:32:23,14.5115,121.2393,80.62,84,100,15.86
230,Rypefjord,NO,2021-06-02 15:32:23,70.6333,23.6667,68.47,37,0,8.05
231,San Quintin,MX,2021-06-02 15:32:23,30.4833,-115.95,64.22,75,53,7.09
232,Ilulissat,GL,2021-06-02 15:32:24,69.2167,-51.1,42.82,45,1,6.91
233,Alofi,NU,2021-06-02 15:32:24,-19.0595,-169.9187,69.69,100,100,2.3
234,Stykkisholmur,IS,2021-06-02 15:32:24,65.0757,-22.7297,46.89,70,78,11.05
235,Namanga,KE,2021-06-02 15:32:24,-2.5433,36.7905,70.59,55,48,3.44
236,Taunggyi,MM,2021-06-02 15:32:25,20.7833,97.0333,67.46,83,7,4.07
237,Saskylakh,RU,2021-06-02 15:32:25,71.9167,114.0833,35.76,86,100,19.06
238,Fort Nelson,CA,2021-06-02 15:30:43,58.8053,-122.7002,63.99,55,75,3.44
239,Kondagaon,IN,2021-06-02 15:32:26,19.6,81.6667,80.4,67,83,2.66
240,Lavrentiya,RU,2021-06-02 15:32:26,65.5833,-171.0,28.69,74,28,11.25
241,Straumen,NO,2021-06-02 15:32:26,63.8709,11.2999,82.35,37,36,1.5
242,Huruta,ET,2021-06-02 15:32:26,8.15,39.35,67.95,52,73,5.5
243,Sibiti,CG,2021-06-02 15:32:27,-3.6819,13.3499,79.61,67,36,1.86
244,Egvekinot,RU,2021-06-02 15:32:27,66.3167,-179.1667,25.09,77,27,3.44
245,Dabat,ET,2021-06-02 15:32:27,12.9842,37.765,66.02,46,39,5.73
246,Denia,ES,2021-06-02 15:32:28,38.8408,0.1057,78.85,74,46,5.99
247,Sembakung,ID,2021-06-02 15:32:28,3.8167,117.25,82.33,98,100,0.13
248,Bismarck,US,2021-06-02 15:30:38,46.8083,-100.7837,75.87,46,1,4.61
249,Touros,BR,2021-06-02 15:32:28,-5.1989,-35.4608,85.1,58,2,16.02
250,Cordoba,AR,2021-06-02 15:30:27,-31.4135,-64.1811,70.65,40,0,5.57
251,Barra,BR,2021-06-02 15:32:29,-11.0894,-43.1417,89.64,34,15,4.56
252,Muros,ES,2021-06-02 15:32:29,42.7762,-9.0603,62.24,88,96,13.15
253,Clyde River,CA,2021-06-02 15:32:29,70.4692,-68.5914,26.83,93,90,5.75
254,Khartoum,SD,2021-06-02 15:29:06,15.5518,32.5324,108.01,19,100,11.45
255,Buzmeyin,TM,2021-06-02 15:32:30,38.0507,58.2056,101.93,17,0,4.61
256,San Angelo,US,2021-06-02 15:32:30,31.4638,-100.437,81.95,69,1,1.99
257,Berlevag,NO,2021-06-02 15:32:30,70.8578,29.0864,64.4,45,0,10.36
258,Bon Air,US,2021-06-02 15:32:17,37.5249,-77.5578,78.75,72,1,1.01
259,Berani,PK,2021-06-02 15:32:31,25.785,68.8069,98.69,50,2,17.74
260,Elat,IL,2021-06-02 15:32:31,29.5581,34.9482,94.84,31,0,12.66
261,Tasiilaq,GL,2021-06-02 15:32:31,65.6145,-37.6368,39.36,77,15,7.16
262,Kuryk,KZ,2021-06-02 15:32:32,43.2,51.65,77.07,47,0,5.77
263,Ratnagiri,IN,2021-06-02 15:32:32,16.9833,73.3,83.48,80,100,4.92
264,Rasht,IR,2021-06-02 15:32:33,37.2808,49.5832,80.42,78,20,4.61
265,Kaeo,NZ,2021-06-02 15:32:33,-35.1,173.7833,53.33,93,86,3.71
266,Chapais,CA,2021-06-02 15:32:33,49.7834,-74.8492,58.78,62,100,2.75
267,San Pedro,PH,2021-06-02 15:32:34,14.35,121.0167,79.83,91,90,12.46
268,Dombarovskiy,RU,2021-06-02 15:32:34,50.7587,59.5386,73.58,39,7,9.53
269,Nouadhibou,MR,2021-06-02 15:32:34,20.931,-17.0347,75.18,64,47,18.41
270,Kizilskoye,RU,2021-06-02 15:32:35,52.7255,58.8937,68.79,56,35,5.35
271,Ordu,TR,2021-06-02 15:32:35,40.9086,37.6845,50.5,96,98,3.74
272,Valley City,US,2021-06-02 15:32:35,46.9233,-98.0032,77.99,41,20,5.75
273,Bethel,US,2021-06-02 15:30:59,41.3712,-73.414,78.89,59,1,3.44
274,Tura,IN,2021-06-02 15:32:36,25.5198,90.2201,74.46,95,13,6.46
275,Kosh-Agach,RU,2021-06-02 15:32:36,50.0,88.6667,59.0,56,83,2.3
276,Sao Joao Da Barra,BR,2021-06-02 15:32:36,-21.6403,-41.0511,80.69,74,0,7.34
277,Alenquer,BR,2021-06-02 15:31:25,-1.9417,-54.7383,86.34,51,8,3.38
278,Cidreira,BR,2021-06-02 15:32:37,-30.1811,-50.2056,67.3,66,87,10.83
279,Santa Vitoria Do Palmar,BR,2021-06-02 15:31:00,-33.5189,-53.3681,64.45,56,9,12.35
280,Thamaga,BW,2021-06-02 15:32:37,-24.6701,25.5397,67.23,34,0,7.65
281,Matara,LK,2021-06-02 15:32:38,5.9485,80.5353,79.88,84,91,11.45
282,Ghugus,IN,2021-06-02 15:32:38,19.9333,79.1333,93.54,40,72,2.21
283,Jabinyanah,TN,2021-06-02 15:32:38,35.035,10.9081,76.8,75,64,16.44
284,Cabog,PH,2021-06-02 15:32:38,15.3153,121.3703,80.13,89,100,8.84
285,Pacific Grove,US,2021-06-02 15:32:39,36.6177,-121.9166,55.51,95,90,1.01
286,Sao Gabriel Da Cachoeira,BR,2021-06-02 15:32:39,-0.1303,-67.0892,82.2,78,75,2.51
287,Jambi,ID,2021-06-02 15:32:40,-1.6,103.6167,77.41,92,95,1.97
288,Cruzeiro Do Sul,BR,2021-06-02 15:32:40,-29.5128,-51.9853,75.07,72,99,5.08
289,Pathein,MM,2021-06-02 15:32:40,16.7833,94.7333,83.17,76,13,6.29
290,Sakakah,SA,2021-06-02 15:32:40,29.9697,40.2064,101.77,10,0,7.58
291,Harper,LR,2021-06-02 15:32:41,4.375,-7.7169,83.57,72,67,7.85
292,Pisco,PE,2021-06-02 15:32:41,-13.7,-76.2167,64.02,88,90,3.44
293,Cotonou,BJ,2021-06-02 15:32:42,6.3654,2.4183,85.98,70,20,9.22
